Region/Province/City,Kind of Quarantine,Start Date,End Date,Source
Laguna,General Community Quarantine,March 22 2021,April 4 2021,IATF-EID Resolution No. 104
Rizal,General Community Quarantine,March 22 2021,April 4 2021,IATF-EID Resolution No. 104
NCR,Enhanced Community Quarantine,03/29/21,April 11 2021,Presidential Address / Malacanang Announcement
Bulacan,Enhanced Community Quarantine,03/29/21,April 11 2021,Presidential Address / Malacanang Announcement
Cavite,Enhanced Community Quarantine,03/29/21,April 11 2021,Presidential Address / Malacanang Announcement
Laguna,Enhanced Community Quarantine,03/29/21,April 11 2021,Presidential Address / Malacanang Announcement
Rizal,Enhanced Community Quarantine,03/29/21,April 11 2021,Presidential Address / Malacanang Announcement
Quirino,Enhanced Community Quarantine,April 1 2021,April 15 2021,Presidential Address
Santiago City,Modified Enhanced Community Quarantine,April 1 2021,April 30 2021,Presidential Address
NCR,Modified Enhanced Community Quarantine,April 12 2021,May 14 2021,Malacanang Announcement / Presidential Announcement
Abra,Modified Enhanced Community Quarantine,May 1 2021,May 31 2021,Presidential Announcement
Ifugao,Modified Enhanced Community Quarantine,May 1 2021,May 14 2021,Malacanang Announcement
Puerto Princesa City,General Community Quarantine,May 1 2021,May 31 2021,Malacanang Announcement
NCR,General Community Quarantine,May 15 2021,May 31 2021,Malacanang Announcement
Santiago City,Modified Enhanced Community Quarantine,May 15 2021,May 31 2021,Malacanang Announcement
Zamboanga City,Modified Enhanced Community Quarantine,May 15 2021,May 31 2021,Malacanang Announcement
Quirino,Modified Enhanced Community Quarantine,May 15 2021,May 31 2021,Malacanang Announcement
Ifugao,Modified Enhanced Community Quarantine,May 15 2021,May 31 2021,Malacanang Announcement
Iloilo City,Modified Enhanced Community Quarantine,May 23 2021,May 31 2021,IATF-EID Announcement
Barangay Namruangan (Cabugao Ilocos Sur),Extreme Enhanced Community Quarantine,May 29 2021,June 11 2021,Mayor Edgardo Cobangbang Jr. Resolution
NCR,General Community Quarantine,June 1 2021,June 15 2021,Presidential Approval of IATF-EID Recommendation
Santiago City,Modified Enhanced Community Quarantine,June 1 2021,June 15 2021,Presidential Approval of IATF-EID Recommendation
NCR,Enhanced Community Quarantine,Aug 6 2021,Aug 20 2021,IATF Res. 130-A
NCR,Modified Enhanced Community Quarantine,Aug 21 2021,Sept 7 2021,Malacanang Announcement / IATF Recommendation
Laguna,Modified Enhanced Community Quarantine,Aug 21 2021,Sept 7 2021,Malacanang Announcement / IATF Recommendation
Bataan,Modified Enhanced Community Quarantine,Aug 21 2021,Sept 7 2021,Malacanang Announcement / IATF Recommendation
NCR,Alert Level 3,Jan 3 2022,Jan 31 2022,IATF Resolutions
Bulacan,Alert Level 3,Jan 3 2022,Jan 31 2022,IATF Resolutions
Rizal,Alert Level 3,Jan 3 2022,Jan 31 2022,IATF Resolutions
Cavite,Alert Level 3,Jan 3 2022,Jan 31 2022,IATF Resolutions
Kalinga,Alert Level 4,Jan 21 2022,Jan 31 2022,IATF Resolutions
Ifugao,Alert Level 4,Jan 21 2022,Jan 31 2022,IATF Resolutions
Mt. Province,Alert Level 4,Jan 21 2022,Jan 31 2022,IATF Resolutions
N. Samar,Alert Level 4,Jan 21 2022,Jan 31 2022,IATF Resolutions
